iter	Passed	Remaining
0	214	429133
1	247	247019
2	277	184729
3	305	152254
4	333	133190
5	360	119819
6	389	110871
7	417	103855
8	449	99446
9	476	94907
10	503	91025
11	535	88655
12	563	86080
13	589	83577
14	614	81286
15	638	79213
16	663	77450
17	689	75906
18	714	74464
19	734	72705
20	753	71033
21	774	69674
22	796	68468
23	815	67174
24	834	65961
25	854	64853
26	873	63860
27	895	63063
28	921	62625
29	943	61926
30	964	61280
31	985	60594
32	1006	59971
33	1024	59250
34	1043	58611
35	1062	57979
36	1081	57391
37	1103	56957
38	1123	56499
39	1145	56114
40	1168	55846
41	1195	55728
42	1218	55472
43	1237	55009
44	1255	54559
45	1274	54155
46	1295	53813
47	1315	53502
48	1334	53130
49	1353	52792
50	1374	52509
51	1394	52221
52	1413	51930
53	1434	51696
54	1454	51433
55	1475	51235
56	1498	51071
57	1518	50846
58	1542	50749
59	1566	50651
60	1588	50507
61	1611	50367
62	1633	50224
63	1652	49973
64	1670	49727
65	1691	49570
66	1715	49486
67	1736	49350
68	1757	49198
69	1779	49069
70	1800	48924
71	1825	48874
72	1846	48731
73	1867	48596
74	1890	48516
75	1912	48428
76	1934	48311
77	1956	48215
78	1981	48177
79	2003	48080
80	2024	47973
81	2046	47860
82	2067	47750
83	2088	47635
84	2109	47518
85	2131	47434
86	2153	47344
87	2174	47237
88	2194	47110
89	2214	46987
90	2248	47178
91	2279	47271
92	2306	47289
93	2328	47216
94	2350	47136
95	2376	47134
96	2410	47297
97	2445	47462
98	2478	47595
99	2504	47581
100	2526	47494
101	2549	47432
102	2570	47334
103	2591	47245
104	2611	47135
105	2633	47054
106	2655	46973
107	2675	46875
108	2696	46784
109	2718	46711
110	2743	46691
111	2768	46663
112	2790	46601
113	2816	46601
114	2843	46604
115	2869	46612
116	2893	46573
117	2919	46563
118	2940	46486
119	2962	46409
120	2985	46362
121	3010	46345
122	3035	46328
123	3056	46247
124	3078	46181
125	3100	46114
126	3121	46029
127	3144	45981
128	3165	45905
129	3217	46277
130	3254	46437
131	3291	46583
132	3324	46668
133	3353	46701
134	3376	46652
135	3402	46633
136	3425	46583
137	3446	46506
138	3468	46439
139	3489	46362
140	3512	46305
141	3532	46220
142	3554	46156
143	3575	46079
144	3598	46035
145	3618	45945
146	3638	45867
147	3660	45801
148	3680	45717
149	3703	45678
150	3739	45787
151	3780	45966
152	3820	46119
153	3853	46188
154	3886	46256
155	3914	46272
156	3940	46260
157	3968	46268
158	3991	46218
159	4020	46230
160	4042	46170
161	4062	46092
162	4083	46021
163	4105	45964
164	4129	45926
165	4149	45843
166	4170	45772
167	4193	45729
168	4215	45668
169	4236	45602
170	4256	45524
171	4278	45474
172	4300	45414
173	4320	45343
174	4344	45303
175	4364	45237
176	4386	45177
177	4406	45109
178	4430	45069
179	4452	45023
180	4473	44958
181	4494	44893
182	4517	44857
183	4541	44822
184	4562	44757
185	4583	44700
186	4604	44636
187	4624	44576
188	4646	44520
189	4666	44452
190	4690	44426
191	4713	44387
192	4736	44342
193	4756	44281
194	4777	44224
195	4798	44167
196	4819	44109
197	4841	44064
198	4863	44016
199	4884	43957
200	4904	43894
201	4924	43831
202	4944	43770
203	4966	43722
204	4986	43663
205	5009	43627
206	5031	43579
207	5051	43523
208	5087	43598
209	5131	43742
210	5171	43851
211	5212	43959
212	5241	43976
213	5269	43976
214	5295	43963
215	5319	43937
216	5341	43887
217	5362	43837
218	5386	43802
219	5406	43746
220	5428	43694
221	5449	43645
222	5471	43599
223	5495	43568
224	5516	43517
225	5536	43460
226	5558	43412
227	5579	43366
228	5601	43317
229	5621	43263
230	5643	43219
231	5664	43169
232	5686	43127
233	5708	43082
234	5729	43035
235	5751	42986
236	5771	42934
237	5793	42888
238	5817	42862
239	5837	42811
240	5858	42758
241	5879	42713
242	5902	42675
243	5922	42622
244	5949	42620
245	5972	42582
246	5994	42544
247	6014	42491
248	6035	42441
249	6061	42433
250	6087	42418
251	6112	42397
252	6136	42372
253	6157	42329
254	6182	42306
255	6207	42289
256	6231	42264
257	6255	42239
258	6281	42221
259	6307	42209
260	6332	42194
261	6357	42174
262	6378	42129
263	6413	42176
264	6449	42222
265	6482	42255
266	6530	42385
267	6565	42431
268	6598	42458
269	6626	42458
270	6649	42422
271	6673	42394
272	6698	42372
273	6722	42344
274	6743	42301
275	6765	42262
276	6788	42226
277	6809	42178
278	6832	42145
279	6853	42099
280	6873	42049
281	6894	42000
282	6916	41963
283	6937	41916
284	6960	41882
285	6980	41835
286	7003	41801
287	7023	41750
288	7046	41717
289	7066	41667
290	7090	41638
291	7112	41603
292	7133	41560
293	7156	41529
294	7187	41542
295	7214	41530
296	7239	41509
297	7266	41504
298	7289	41467
299	7310	41423
300	7331	41385
301	7356	41362
302	7378	41325
303	7398	41278
304	7419	41232
305	7438	41181
306	7460	41144
307	7482	41102
308	7505	41074
309	7526	41031
310	7547	40990
311	7569	40955
312	7597	40948
313	7620	40919
314	7648	40913
315	7674	40900
316	7699	40878
317	7735	40915
318	7763	40912
319	7789	40894
320	7814	40872
321	7837	40840
322	7859	40803
323	7881	40767
324	7904	40736
325	7929	40715
326	7953	40689
327	7976	40661
328	8001	40641
329	8022	40599
330	8046	40570
331	8066	40527
332	8087	40486
333	8109	40452
334	8131	40417
335	8152	40376
336	8173	40333
337	8195	40296
338	8217	40261
339	8237	40217
340	8258	40176
341	8279	40136
342	8300	40098
343	8322	40065
344	8345	40033
345	8368	40005
346	8392	39981
347	8414	39945
348	8435	39904
349	8456	39864
350	8477	39825
351	8498	39786
352	8519	39747
353	8542	39720
354	8564	39684
355	8588	39660
356	8611	39633
357	8635	39609
358	8661	39589
359	8684	39561
360	8710	39545
361	8736	39530
362	8760	39507
363	8783	39479
364	8806	39446
365	8828	39412
366	8849	39377
367	8871	39341
368	8891	39298
369	8911	39258
370	8932	39222
371	8955	39193
372	8976	39154
373	8998	39120
374	9018	39080
375	9043	39061
376	9082	39100
377	9121	39139
378	9155	39157
379	9184	39156
380	9208	39128
381	9233	39109
382	9253	39068
383	9276	39037
384	9297	39001
385	9319	38970
386	9342	38939
387	9362	38899
388	9383	38860
389	9403	38821
390	9425	38786
391	9449	38764
392	9471	38729
393	9491	38689
394	9512	38651
395	9534	38618
396	9554	38579
397	9575	38541
398	9595	38502
399	9618	38474
400	9640	38440
401	9662	38408
402	9688	38391
403	9710	38361
404	9733	38332
405	9757	38310
406	9779	38275
407	9799	38238
408	9820	38201
409	9842	38168
410	9864	38139
